reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Australia,2008,Import,  All Products,Import (US$ Thousand),200617274.5,100
Australia,2008,Import, Capital goods,Macro Import (US$ Thousand),61880820.31,5.7558
Australia,2008,Import, Consumer goods,Macro Import (US$ Thousand),79244348.65,15.1473
Australia,2008,Import, Intermediate goods,Macro Import (US$ Thousand),37420942.6,20.4933
Australia,2008,Import, Raw materials,Macro Import (US$ Thousand),19531809.37,54.4679
Australia,2008,Import,Other,Macro Import (US$ Thousand),2539353.587,4.1357
Australia,2008,Import,Animal,Micro Import (US$ Thousand),1755780.332,5.3998
Australia,2008,Import,Chemicals,Micro Import (US$ Thousand),18306036.33,6.2506
Australia,2008,Import,Food Products,Micro Import (US$ Thousand),5981612.553,2.2536
Australia,2008,Import,Footwear,Micro Import (US$ Thousand),1378715.299,0.0299
Australia,2008,Import,Fuels,Micro Import (US$ Thousand),31286321.36,32.0403
Australia,2008,Import,Hides and Skins,Micro Import (US$ Thousand),962997.768,0.488
Australia,2008,Import,Mach and Elec,Micro Import (US$ Thousand),48615294.76,4.0954
Australia,2008,Import,Metals,Micro Import (US$ Thousand),11831053.37,7.6506
Australia,2008,Import,Minerals,Micro Import (US$ Thousand),1265329.102,18.5039
Australia,2008,Import,Miscellaneous,Micro Import (US$ Thousand),16035955.45,5.8236
Australia,2008,Import,Plastic or Rubber,Micro Import (US$ Thousand),7538883.084,0.6182
Australia,2008,Import,Stone and Glass,Micro Import (US$ Thousand),11874956.6,7.0681
Australia,2008,Import,Textiles and Clothing,Micro Import (US$ Thousand),6546039.516,1.5194
Australia,2008,Import,Transportation,Micro Import (US$ Thousand),29554572.93,2.8685
Australia,2008,Import,Vegetable,Micro Import (US$ Thousand),2330116.184,4.092
Australia,2008,Import,Wood,Micro Import (US$ Thousand),5353609.883,1.298
Australia,2008,Export,  All Products,Export (US$ Thousand),186853013.6,100
Australia,2008,Export, Capital goods,Macro Export (US$ Thousand),10754893.6,30.8452
Australia,2008,Export, Consumer goods,Macro Export (US$ Thousand),28303260.32,39.5003
Australia,2008,Export, Intermediate goods,Macro Export (US$ Thousand),38292335.39,18.6529
Australia,2008,Export, Raw materials,Macro Export (US$ Thousand),101774898.7,9.7359
Australia,2008,Export,Other,Macro Export (US$ Thousand),7727625.573,1.2657
Australia,2008,Export,Animal,Micro Export (US$ Thousand),10089635.49,0.8752
Australia,2008,Export,Chemicals,Micro Export (US$ Thousand),11679417,9.1249
Australia,2008,Export,Food Products,Micro Export (US$ Thousand),4211012.468,2.9816
Australia,2008,Export,Footwear,Micro Export (US$ Thousand),55863.071,0.6872
Australia,2008,Export,Fuels,Micro Export (US$ Thousand),59868231.68,15.595
Australia,2008,Export,Hides and Skins,Micro Export (US$ Thousand),911922.445,0.48
Australia,2008,Export,Mach and Elec,Micro Export (US$ Thousand),7652317.506,24.2329
Australia,2008,Export,Metals,Micro Export (US$ Thousand),14295442.41,5.8973
Australia,2008,Export,Minerals,Micro Export (US$ Thousand),34575178.16,0.6307
Australia,2008,Export,Miscellaneous,Micro Export (US$ Thousand),10881636.83,7.9933
Australia,2008,Export,Plastic or Rubber,Micro Export (US$ Thousand),1155158.04,3.7578
Australia,2008,Export,Stone and Glass,Micro Export (US$ Thousand),13206921.6,5.9192
Australia,2008,Export,Textiles and Clothing,Micro Export (US$ Thousand),2839099.732,3.2629
Australia,2008,Export,Transportation,Micro Export (US$ Thousand),5359823.589,14.7318
Australia,2008,Export,Vegetable,Micro Export (US$ Thousand),7646038.62,1.1615
Australia,2008,Export,Wood,Micro Export (US$ Thousand),2425314.953,2.6686
Australia,2009,Import,  All Products,Import (US$ Thousand),165601136.4,100
Australia,2009,Import, Capital goods,Macro Import (US$ Thousand),51543528.94,5.9487
Australia,2009,Import, Consumer goods,Macro Import (US$ Thousand),67443160.14,14.1721
Australia,2009,Import, Intermediate goods,Macro Import (US$ Thousand),28589966.47,20.0174
Australia,2009,Import, Raw materials,Macro Import (US$ Thousand),13227679.25,54.995
Australia,2009,Import,Other,Macro Import (US$ Thousand),4796801.624,4.8668
Australia,2009,Import,Animal,Micro Import (US$ Thousand),1595053.148,5.5677
Australia,2009,Import,Chemicals,Micro Import (US$ Thousand),15886700.26,6.069
Australia,2009,Import,Food Products,Micro Import (US$ Thousand),5855013.504,2.5154
Australia,2009,Import,Footwear,Micro Import (US$ Thousand),1258668.219,0.0296
Australia,2009,Import,Fuels,Micro Import (US$ Thousand),20886403.49,29.5073
Australia,2009,Import,Hides and Skins,Micro Import (US$ Thousand),858009.263,0.4145
Australia,2009,Import,Mach and Elec,Micro Import (US$ Thousand),44050947.83,4.1537
Australia,2009,Import,Metals,Micro Import (US$ Thousand),8860819.29,6.3318
Australia,2009,Import,Minerals,Micro Import (US$ Thousand),677627.759,19.8298
Australia,2009,Import,Miscellaneous,Micro Import (US$ Thousand),16989232.32,6.7061
Australia,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),6326268.898,0.6297
Australia,2009,Import,Stone and Glass,Micro Import (US$ Thousand),10584232.34,8.3851
Australia,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),5997496.309,1.4888
Australia,2009,Import,Transportation,Micro Import (US$ Thousand),19222941.65,1.9875
Australia,2009,Import,Vegetable,Micro Import (US$ Thousand),2162879.101,5.1446
Australia,2009,Import,Wood,Micro Import (US$ Thousand),4388843.039,1.2395
Australia,2009,Export,  All Products,Export (US$ Thousand),153899576,100
Australia,2009,Export, Capital goods,Macro Export (US$ Thousand),9155023.8,31.1251
Australia,2009,Export, Consumer goods,Macro Export (US$ Thousand),21810851.26,40.7263
Australia,2009,Export, Intermediate goods,Macro Export (US$ Thousand),30806717.57,17.2644
Australia,2009,Export, Raw materials,Macro Export (US$ Thousand),84637015.6,7.9877
Australia,2009,Export,Other,Macro Export (US$ Thousand),7489967.717,2.8965
Australia,2009,Export,Animal,Micro Export (US$ Thousand),8568606.963,0.9632
Australia,2009,Export,Chemicals,Micro Export (US$ Thousand),9340099.485,9.5934
Australia,2009,Export,Food Products,Micro Export (US$ Thousand),3871183.537,3.5356
Australia,2009,Export,Footwear,Micro Export (US$ Thousand),45535.496,0.7601
Australia,2009,Export,Fuels,Micro Export (US$ Thousand),45411625.01,12.6125
Australia,2009,Export,Hides and Skins,Micro Export (US$ Thousand),637905.384,0.5181
Australia,2009,Export,Mach and Elec,Micro Export (US$ Thousand),6392556.707,26.6006
Australia,2009,Export,Metals,Micro Export (US$ Thousand),9744546.209,5.3507
Australia,2009,Export,Minerals,Micro Export (US$ Thousand),30518032.9,0.4092
Australia,2009,Export,Miscellaneous,Micro Export (US$ Thousand),10320734.01,10.2591
Australia,2009,Export,Plastic or Rubber,Micro Export (US$ Thousand),969069.336,3.8202
Australia,2009,Export,Stone and Glass,Micro Export (US$ Thousand),12904618.58,6.3914
Australia,2009,Export,Textiles and Clothing,Micro Export (US$ Thousand),2291206.616,3.6217
Australia,2009,Export,Transportation,Micro Export (US$ Thousand),3058734.365,11.608
Australia,2009,Export,Vegetable,Micro Export (US$ Thousand),7917593.153,1.3061
Australia,2009,Export,Wood,Micro Export (US$ Thousand),1907528.212,2.6502
Australia,2010,Import,  All Products,Import (US$ Thousand),201703333.7,100
Australia,2010,Import, Capital goods,Macro Import (US$ Thousand),61478070.62,5.0648
Australia,2010,Import, Consumer goods,Macro Import (US$ Thousand),82464333.59,12.8813
Australia,2010,Import, Intermediate goods,Macro Import (US$ Thousand),32859596.97,17.6335
Australia,2010,Import, Raw materials,Macro Import (US$ Thousand),19216977,59.607
Australia,2010,Import,Other,Macro Import (US$ Thousand),5684355.545,4.8134
Australia,2010,Import,Animal,Micro Import (US$ Thousand),1951814.684,4.7563
Australia,2010,Import,Chemicals,Micro Import (US$ Thousand),19053591.37,5.2925
Australia,2010,Import,Food Products,Micro Import (US$ Thousand),6720130.44,2.115
Australia,2010,Import,Footwear,Micro Import (US$ Thousand),1505067.286,0.0256
Australia,2010,Import,Fuels,Micro Import (US$ Thousand),27379125.38,28.8813
Australia,2010,Import,Hides and Skins,Micro Import (US$ Thousand),982796.945,0.4487
Australia,2010,Import,Mach and Elec,Micro Import (US$ Thousand),51093816.88,3.5977
Australia,2010,Import,Metals,Micro Import (US$ Thousand),10876582.57,6.1783
Australia,2010,Import,Minerals,Micro Import (US$ Thousand),1122450.162,26.533
Australia,2010,Import,Miscellaneous,Micro Import (US$ Thousand),19780214.51,6.3335
Australia,2010,Import,Plastic or Rubber,Micro Import (US$ Thousand),7965845.643,0.5296
Australia,2010,Import,Stone and Glass,Micro Import (US$ Thousand),10244728.94,6.8321
Australia,2010,Import,Textiles and Clothing,Micro Import (US$ Thousand),7228648.995,1.6374
Australia,2010,Import,Transportation,Micro Import (US$ Thousand),27909434.34,1.7279
Australia,2010,Import,Vegetable,Micro Import (US$ Thousand),2399010.14,3.9166
Australia,2010,Import,Wood,Micro Import (US$ Thousand),5490075.438,1.1943
Australia,2010,Export,  All Products,Export (US$ Thousand),212108726.3,100
Australia,2010,Export, Capital goods,Macro Export (US$ Thousand),10742821.02,30.4795
Australia,2010,Export, Consumer goods,Macro Export (US$ Thousand),27322433.75,40.884
Australia,2010,Export, Intermediate goods,Macro Export (US$ Thousand),37402096.64,16.2911
Australia,2010,Export, Raw materials,Macro Export (US$ Thousand),126431548.6,9.5273
Australia,2010,Export,Other,Macro Export (US$ Thousand),10209826.24,2.8181
Australia,2010,Export,Animal,Micro Export (US$ Thousand),10088511.35,0.9677
Australia,2010,Export,Chemicals,Micro Export (US$ Thousand),11225921.68,9.4463
Australia,2010,Export,Food Products,Micro Export (US$ Thousand),4486053.631,3.3317
Australia,2010,Export,Footwear,Micro Export (US$ Thousand),54372.03,0.7462
Australia,2010,Export,Fuels,Micro Export (US$ Thousand),61259839.43,13.574
Australia,2010,Export,Hides and Skins,Micro Export (US$ Thousand),951707.042,0.4872
Australia,2010,Export,Mach and Elec,Micro Export (US$ Thousand),7631057.014,25.3312
Australia,2010,Export,Metals,Micro Export (US$ Thousand),13104816.2,5.3924
Australia,2010,Export,Minerals,Micro Export (US$ Thousand),56278857.22,0.5565
Australia,2010,Export,Miscellaneous,Micro Export (US$ Thousand),13433810.29,9.8066
Australia,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),1123259.886,3.9493
Australia,2010,Export,Stone and Glass,Micro Export (US$ Thousand),14491556.98,5.0791
Australia,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),3473046.334,3.5838
Australia,2010,Export,Transportation,Micro Export (US$ Thousand),3665094.569,13.8369
Australia,2010,Export,Vegetable,Micro Export (US$ Thousand),8307513.649,1.1894
Australia,2010,Export,Wood,Micro Export (US$ Thousand),2533308.992,2.7219
Australia,2011,Import,  All Products,Import (US$ Thousand),201703333.7,100
Australia,2011,Import, Capital goods,Macro Import (US$ Thousand),61478070.62,4.726
Australia,2011,Import, Consumer goods,Macro Import (US$ Thousand),82464333.59,11.9294
Australia,2011,Import, Intermediate goods,Macro Import (US$ Thousand),32859596.97,16.5265
Australia,2011,Import, Raw materials,Macro Import (US$ Thousand),19216977,62.8277
Australia,2011,Import,Other,Macro Import (US$ Thousand),5684355.545,3.9904
Australia,2011,Import,Animal,Micro Import (US$ Thousand),1951814.684,4.3679
Australia,2011,Import,Chemicals,Micro Import (US$ Thousand),19053591.37,4.6747
Australia,2011,Import,Food Products,Micro Import (US$ Thousand),6720130.44,1.7945
Australia,2011,Import,Footwear,Micro Import (US$ Thousand),1505067.286,0.0249
Australia,2011,Import,Fuels,Micro Import (US$ Thousand),27379125.38,28.1412
Australia,2011,Import,Hides and Skins,Micro Import (US$ Thousand),982796.945,0.4399
Australia,2011,Import,Mach and Elec,Micro Import (US$ Thousand),51093816.88,3.2642
Australia,2011,Import,Metals,Micro Import (US$ Thousand),10876582.57,5.8929
Australia,2011,Import,Minerals,Micro Import (US$ Thousand),1122450.162,29.5527
Australia,2011,Import,Miscellaneous,Micro Import (US$ Thousand),19780214.51,5.358
Australia,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),7965845.643,0.4498
Australia,2011,Import,Stone and Glass,Micro Import (US$ Thousand),10244728.94,6.3466
Australia,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),7228648.995,2.2545
Australia,2011,Import,Transportation,Micro Import (US$ Thousand),27909434.34,1.5644
Australia,2011,Import,Vegetable,Micro Import (US$ Thousand),2399010.14,4.8727
Australia,2011,Import,Wood,Micro Import (US$ Thousand),5490075.438,1.0011
Australia,2011,Export,  All Products,Export (US$ Thousand),212108726.3,100
Australia,2011,Export, Capital goods,Macro Export (US$ Thousand),10742821.02,30.24
Australia,2011,Export, Consumer goods,Macro Export (US$ Thousand),27322433.75,39.8979
Australia,2011,Export, Intermediate goods,Macro Export (US$ Thousand),37402096.64,15.6881
Australia,2011,Export, Raw materials,Macro Export (US$ Thousand),126431548.6,11.0787
Australia,2011,Export,Other,Macro Export (US$ Thousand),10209826.24,3.0953
Australia,2011,Export,Animal,Micro Export (US$ Thousand),10088511.35,0.8901
Australia,2011,Export,Chemicals,Micro Export (US$ Thousand),11225921.68,9.3114
Australia,2011,Export,Food Products,Micro Export (US$ Thousand),4486053.631,3.2473
Australia,2011,Export,Footwear,Micro Export (US$ Thousand),54372.03,0.6807
Australia,2011,Export,Fuels,Micro Export (US$ Thousand),61259839.43,16.8714
Australia,2011,Export,Hides and Skins,Micro Export (US$ Thousand),951707.042,0.4826
Australia,2011,Export,Mach and Elec,Micro Export (US$ Thousand),7631057.014,24.657
Australia,2011,Export,Metals,Micro Export (US$ Thousand),13104816.2,5.2362
Australia,2011,Export,Minerals,Micro Export (US$ Thousand),56278857.22,0.5348
Australia,2011,Export,Miscellaneous,Micro Export (US$ Thousand),13433810.29,9.789
Australia,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),1123259.886,3.9421
Australia,2011,Export,Stone and Glass,Micro Export (US$ Thousand),14491556.98,4.906
Australia,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),3473046.334,3.4156
Australia,2011,Export,Transportation,Micro Export (US$ Thousand),3665094.569,12.5511
Australia,2011,Export,Vegetable,Micro Export (US$ Thousand),8307513.649,1.1903
Australia,2011,Export,Wood,Micro Export (US$ Thousand),2533308.992,2.2942
Australia,2012,Import,  All Products,Import (US$ Thousand),250464794.4,100
Australia,2012,Import, Capital goods,Macro Import (US$ Thousand),81090221.22,5.1036
Australia,2012,Import, Consumer goods,Macro Import (US$ Thousand),100155673.1,14.0669
Australia,2012,Import, Intermediate goods,Macro Import (US$ Thousand),36666343.7,16.8185
Australia,2012,Import, Raw materials,Macro Import (US$ Thousand),26696590.87,60.1934
Australia,2012,Import,Other,Macro Import (US$ Thousand),5855965.526,3.8176
Australia,2012,Import,Animal,Micro Import (US$ Thousand),2185233.318,4.5986
Australia,2012,Import,Chemicals,Micro Import (US$ Thousand),22070001.89,5.0549
Australia,2012,Import,Food Products,Micro Import (US$ Thousand),8064597.784,1.8457
Australia,2012,Import,Footwear,Micro Import (US$ Thousand),1787940.33,0.0258
Australia,2012,Import,Fuels,Micro Import (US$ Thousand),42333320.49,28.4459
Australia,2012,Import,Hides and Skins,Micro Import (US$ Thousand),1232835.248,0.4387
Australia,2012,Import,Mach and Elec,Micro Import (US$ Thousand),63001163.35,3.5038
Australia,2012,Import,Metals,Micro Import (US$ Thousand),13653048.22,5.3861
Australia,2012,Import,Minerals,Micro Import (US$ Thousand),1107744.563,27.3308
Australia,2012,Import,Miscellaneous,Micro Import (US$ Thousand),22275047.19,5.1717
Australia,2012,Import,Plastic or Rubber,Micro Import (US$ Thousand),9807053.592,0.4854
Australia,2012,Import,Stone and Glass,Micro Import (US$ Thousand),10064913.45,6.8734
Australia,2012,Import,Textiles and Clothing,Micro Import (US$ Thousand),8249949.566,2.286
Australia,2012,Import,Transportation,Micro Import (US$ Thousand),36255439.57,1.8945
Australia,2012,Import,Vegetable,Micro Import (US$ Thousand),2887828.3,5.733
Australia,2012,Import,Wood,Micro Import (US$ Thousand),5488677.545,0.9256
Australia,2012,Export,  All Products,Export (US$ Thousand),256242913,100
Australia,2012,Export, Capital goods,Macro Export (US$ Thousand),13077563.88,32.3759
Australia,2012,Export, Consumer goods,Macro Export (US$ Thousand),36045328.35,39.9879
Australia,2012,Export, Intermediate goods,Macro Export (US$ Thousand),43096263.21,14.6393
Australia,2012,Export, Raw materials,Macro Export (US$ Thousand),154241212.8,10.6588
Australia,2012,Export,Other,Macro Export (US$ Thousand),9782544.765,2.3381
Australia,2012,Export,Animal,Micro Export (US$ Thousand),11783627.34,0.8725
Australia,2012,Export,Chemicals,Micro Export (US$ Thousand),12952879.12,8.8116
Australia,2012,Export,Food Products,Micro Export (US$ Thousand),4729482.939,3.2199
Australia,2012,Export,Footwear,Micro Export (US$ Thousand),66165.285,0.7138
Australia,2012,Export,Fuels,Micro Export (US$ Thousand),72890517.38,16.9019
Australia,2012,Export,Hides and Skins,Micro Export (US$ Thousand),1124159.114,0.4922
Australia,2012,Export,Mach and Elec,Micro Export (US$ Thousand),8978120.709,25.1537
Australia,2012,Export,Metals,Micro Export (US$ Thousand),13801492.46,5.4511
Australia,2012,Export,Minerals,Micro Export (US$ Thousand),70033112.73,0.4423
Australia,2012,Export,Miscellaneous,Micro Export (US$ Thousand),13252227.56,8.8935
Australia,2012,Export,Plastic or Rubber,Micro Export (US$ Thousand),1243923.353,3.9155
Australia,2012,Export,Stone and Glass,Micro Export (US$ Thousand),17612679.38,4.0185
Australia,2012,Export,Textiles and Clothing,Micro Export (US$ Thousand),5857754.509,3.2939
Australia,2012,Export,Transportation,Micro Export (US$ Thousand),4854601.946,14.4753
Australia,2012,Export,Vegetable,Micro Export (US$ Thousand),14690282.13,1.153
Australia,2012,Export,Wood,Micro Export (US$ Thousand),2371887.047,2.1914
Australia,2013,Import,  All Products,Import (US$ Thousand),232481271.3,100
Australia,2013,Import, Capital goods,Macro Import (US$ Thousand),70146843.48,4.8134
Australia,2013,Import, Consumer goods,Macro Import (US$ Thousand),100773737.6,13.4869
Australia,2013,Import, Intermediate goods,Macro Import (US$ Thousand),33222101.86,15.7859
Australia,2013,Import, Raw materials,Macro Import (US$ Thousand),23556337.34,62.4841
Australia,2013,Import,Other,Macro Import (US$ Thousand),4782251.01,3.4297
Australia,2013,Import,Animal,Micro Import (US$ Thousand),2245617.048,4.9982
Australia,2013,Import,Chemicals,Micro Import (US$ Thousand),19842671.14,4.7014
Australia,2013,Import,Food Products,Micro Import (US$ Thousand),8585799.462,1.8353
Australia,2013,Import,Footwear,Micro Import (US$ Thousand),1815309.019,0.0279
Australia,2013,Import,Fuels,Micro Import (US$ Thousand),40668502.82,25.8656
Australia,2013,Import,Hides and Skins,Micro Import (US$ Thousand),1289683.869,0.5016
Australia,2013,Import,Mach and Elec,Micro Import (US$ Thousand),56648573.42,3.362
Australia,2013,Import,Metals,Micro Import (US$ Thousand),13032220.55,5.0872
Australia,2013,Import,Minerals,Micro Import (US$ Thousand),795256.029,31.5129
Australia,2013,Import,Miscellaneous,Micro Import (US$ Thousand),20902033.95,4.7996
Australia,2013,Import,Plastic or Rubber,Micro Import (US$ Thousand),9306841.632,0.4394
Australia,2013,Import,Stone and Glass,Micro Import (US$ Thousand),8848611.547,6.061
Australia,2013,Import,Textiles and Clothing,Micro Import (US$ Thousand),8465183.81,2.1831
Australia,2013,Import,Transportation,Micro Import (US$ Thousand),31984286.03,1.8807
Australia,2013,Import,Vegetable,Micro Import (US$ Thousand),2851155.968,5.793
